Match Id,Match,Bowling_team,Bowler_name,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,United States of America,Hardik Pandya,4,1,14,2,3.5,19,1,1,0,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,United States of America,Shivam Dube,1,0,11,0,11,3,1,1,0,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,United States of America,Axar Patel,3,0,25,1,8.33,5,0,2,1,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,India,Saurabh Netravalkar,4,0,18,2,4.5,13,0,1,0,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,India,Ali Khan,3.2,0,21,1,6.3,8,2,0,1,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,India,Jasdeep Singh,4,0,24,0,6,11,1,1,0,1
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,India,Shadley van Schalkwyk,4,0,25,0,6.25,8,1,1,0,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,India,Corey Anderson,3,0,17,0,5.66,8,0,1,1,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Namibia,Josh Hazlewood,4,0,18,2,4.5,16,2,0,1,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Namibia,Marcus Stoinis,3,0,9,2,3,14,1,0,2,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Namibia,Pat Cummins,3,1,16,1,5.33,11,1,1,0,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Namibia,Adam Zampa,4,0,12,4,3,17,0,1,0,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Namibia,Nathan Ellis,3,1,12,1,4,13,2,0,0,0
T20I # 2666,Australia vs Namibia-24Th-Match-Group-B-1415724,Australia,Ruben Trumpelmann,2,0,19,0,9.5,5,4,0,0,0
