Match Id,Match Name,Team_Inning,BatsmanName,Batting Pos,Out By,Not Out / Out,Runs,Balls,4s,6s,SR(strike rate)
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Rahmanullah Gurbaz ,1,b Nao,Out,11,7,1,1,157.14
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Ibrahim Zadran,2,b Kamea,Out,0,7,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Gulbadin Naib,3,not out,Not_Out,49,36,4,2,136.11
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Azmatullah Omarzai,4,b Vanua,Out,13,18,1,0,72.22
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Mohammad Nabi,5,not out,Not_Out,16,23,1,0,69.56
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Pratik Athavale ,1,c Salt b Archer,Out,5,3,1,0,166.66
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Kashyap Prajapati,2,c Livingstone b Wood,Out,9,16,0,1,56.25
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Aqib Ilyas (c),3,c Jacks b Archer,Out,8,10,1,0,80
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Zeeshan Maqsood,4,c & b Wood,Out,1,5,0,0,20
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Khalid Kail,5,st Buttler b Rashid,Out,1,3,0,0,33.33
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Ayaan Khan,6,b Wood,Out,1,5,0,0,20
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Shoaib Khan,7,c Buttler b Archer,Out,11,23,1,0,47.82
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Mehran Khan,8,c Ali b Rashid,Out,0,2,0,0,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Fayyaz Butt,9,b Rashid,Out,2,7,0,0,28.57
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Kaleemullah,10,b Rashid,Out,5,5,1,0,100
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Bilal Khan,11,not out,Not_Out,0,1,0,0,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,England,Phil Salt,1,b Bilal Khan,Out,12,3,0,2,400
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,England,Jos Buttler (c),2,not out,Not_Out,24,8,4,1,300
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,England,Will Jacks,3,c Prajapati b Kaleemullah,Out,5,7,1,0,71.42
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,England,Jonny Bairstow,4,not out,Not_Out,8,2,2,0,400
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Tanzid Hasan,1,c de Leede b van Meekeren,Out,35,26,5,1,134.61
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Najmul Hossain Shanto (c),2,c Vikramjit Singh b Dutt,Out,1,3,0,0,33.33
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Litton Das ,3,c Engelbrecht b Dutt,Out,1,2,0,0,50
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Shakib Al Hasan,4,not out,Not_Out,64,46,9,0,139.13
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Towhid Hridoy,5,b Pringle,Out,9,15,0,0,60
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Mahmudullah,6,c Engelbrecht b van Meekeren,Out,25,21,2,2,119.04
